Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1963;07;    31.0;    30.8;    89.5;    86.1;    31.9;    26.3;    46.3;    46.2;    47.4;    34.4;    49.8;    28.2;    50.2;    30.2;    40.8;    54.1;    54.2;
1964;07;    22.1;    22.1;    30.4;    41.3;    31.1;    31.7;    40.0;    40.2;    38.1;    25.3;    64.9;    19.8;    28.2;    27.2;    25.4;    23.1;    34.6;
1965;07;   101.2;   100.8;   139.0;   129.9;   163.8;   121.3;   142.2;   142.5;   186.2;   121.4;   157.6;    97.7;    90.7;    94.2;    98.7;   104.4;   132.2;
1966;07;    81.4;    81.7;   116.0;   161.7;   136.4;    89.8;   102.4;   102.2;   129.6;   120.6;    99.8;   111.7;   101.6;    87.2;    94.0;   102.5;   117.7;
1967;07;    56.5;    56.8;    63.6;    75.0;    43.6;    72.9;    72.3;    72.6;    68.8;    72.9;    84.9;    60.8;    61.4;    64.7;    57.1;    47.6;    67.2;
1968;07;    55.9;    56.1;    82.1;   102.9;    71.3;    72.1;    67.5;    67.6;    79.4;    87.8;    77.5;    88.6;    60.6;    45.8;    49.0;    53.1;    76.3;
1969;07;    13.8;    14.0;    84.1;    61.7;    53.2;    19.5;    46.9;    46.8;    66.7;    52.8;    38.9;    43.9;    29.7;    19.0;    26.9;    36.8;    48.3;
1970;07;    57.1;    57.3;    87.1;   100.5;    96.3;    83.1;   117.8;   117.8;   142.7;    94.3;   100.6;   106.1;    66.5;    65.2;    72.4;    81.4;    95.6;
1971;07;     9.5;     9.5;    45.6;    36.7;    16.2;    27.1;    38.5;    38.9;    33.8;    25.6;    66.3;    40.1;    13.7;    22.4;    17.3;    10.9;    31.0;
1972;07;    61.3;    61.4;    85.3;    95.3;    68.4;    85.1;    69.4;    69.1;    85.2;    68.1;    66.4;    74.8;    65.6;    82.6;    89.8;    98.9;    79.7;
1973;07;    78.8;    78.3;   104.7;   114.1;    72.3;    79.1;    81.8;    82.2;    64.7;    67.1;   102.4;    84.1;   106.7;    66.7;    69.5;    73.1;    88.2;
1974;07;    64.1;    64.4;   100.0;   143.5;    86.6;    88.3;    88.5;    89.1;    92.3;    80.3;   106.9;    78.4;    83.4;    54.5;    63.5;    74.8;    96.3;
1975;07;    55.8;    55.2;    72.6;   104.6;    52.6;    77.2;    63.2;    63.3;    76.9;    70.7;    63.7;    42.2;    47.6;    29.2;    36.1;    44.7;    70.2;
1976;07;    27.9;    28.0;   125.1;   105.2;    59.7;    37.1;    44.7;    44.5;    67.1;    80.7;    27.4;    51.0;    35.7;    37.6;    41.9;    47.2;    66.5;
1977;07;    73.9;    74.4;    78.0;    97.2;    65.0;    85.2;    65.4;    65.6;    64.0;    64.1;    75.0;    58.8;    98.4;    53.8;    55.7;    58.1;    76.0;
1978;07;    36.4;    36.5;   110.2;   115.1;    70.4;    43.9;    77.1;    77.2;    88.8;    80.2;    75.2;   113.2;    47.9;    41.2;    45.3;    50.5;    78.7;
1979;07;    70.1;    70.0;    69.7;    85.2;    69.4;    73.6;    82.2;    82.3;    66.9;    52.4;    70.9;    36.9;    74.4;    66.2;    72.0;    79.2;    73.9;
1980;07;    95.2;    94.7;   157.2;   163.5;   146.4;    93.1;   115.4;   115.6;   166.5;   167.0;   120.3;   182.4;   143.5;    80.4;    91.6;   105.6;   135.4;
